               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036414,             0.15204,            0.011545,             0.62593,             0.51097,             0.54119,             0.34281,            0.037662,             0.26866,            0.017516,             0.00505,             0.00505,             0.00505
                  37,            0.036086,             0.15304,            0.011302,             0.61572,             0.51943,             0.54227,             0.34225,            0.037605,              0.2681,             0.01735,           0.0049086,           0.0049086,           0.0049086
                  38,            0.036216,             0.15265,            0.011254,             0.61834,             0.51097,             0.53341,             0.33557,            0.037687,             0.26804,            0.017543,           0.0047671,           0.0047671,           0.0047671
                  39,            0.035959,             0.15371,            0.011044,             0.62772,             0.50981,              0.5378,             0.34166,            0.037629,             0.26889,            0.017597,           0.0046257,           0.0046257,           0.0046257
                  40,             0.03552,             0.15195,            0.010821,             0.61692,             0.50734,             0.53841,              0.3428,            0.037498,             0.26975,            0.017682,           0.0044843,           0.0044843,           0.0044843
                  41,            0.035346,               0.148,            0.010727,             0.61869,             0.51425,             0.53849,             0.34115,            0.037494,             0.26841,            0.017679,           0.0043429,           0.0043429,           0.0043429
                  42,            0.035289,             0.14845,            0.010495,             0.62945,             0.50773,              0.5377,             0.33978,            0.037576,             0.26883,            0.017752,           0.0042014,           0.0042014,           0.0042014
                  43,            0.035167,             0.14821,            0.010493,             0.62343,             0.51687,             0.54261,             0.34363,            0.037541,             0.26917,            0.017568,             0.00406,             0.00406,             0.00406
                  44,            0.034909,             0.14991,            0.010499,             0.62777,             0.51673,             0.54507,               0.346,             0.03737,             0.26788,            0.017578,           0.0039186,           0.0039186,           0.0039186
                  45,            0.034921,             0.14649,              0.0101,             0.62578,              0.5144,              0.5425,             0.34459,             0.03737,             0.27051,            0.017655,           0.0037771,           0.0037771,           0.0037771
                  46,            0.034702,             0.14734,            0.010074,             0.61886,             0.52022,             0.54195,             0.34387,            0.037292,             0.26973,             0.01762,           0.0036357,           0.0036357,           0.0036357
