               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043606,             0.18166,            0.017011,               0.529,             0.42706,             0.43812,              0.2571,            0.042658,             0.28194,            0.020134,             0.00505,             0.00505,             0.00505
                  37,            0.043234,             0.18359,            0.016974,             0.53373,             0.43289,             0.44553,             0.26029,              0.0427,             0.28179,            0.019763,           0.0049086,           0.0049086,           0.0049086
                  38,            0.043313,             0.18297,            0.016849,             0.53175,             0.43545,             0.44225,             0.25949,            0.042436,             0.28062,            0.019711,           0.0047671,           0.0047671,           0.0047671
                  39,            0.042994,             0.18493,            0.016708,             0.52803,             0.43474,             0.44283,             0.25888,            0.042524,             0.28132,            0.019814,           0.0046257,           0.0046257,           0.0046257
                  40,            0.042669,             0.18387,            0.016452,             0.53312,             0.42855,             0.44488,             0.26093,             0.04235,              0.2806,            0.019733,           0.0044843,           0.0044843,           0.0044843
                  41,            0.042561,             0.17929,            0.016565,             0.53751,             0.43349,              0.4449,             0.26083,            0.042313,             0.28104,            0.019826,           0.0043429,           0.0043429,           0.0043429
                  42,            0.042399,             0.17991,            0.016242,             0.52731,             0.43013,             0.44483,             0.26185,            0.042373,             0.28082,            0.019729,           0.0042014,           0.0042014,           0.0042014
                  43,            0.042305,             0.17981,            0.016181,             0.52766,             0.43387,             0.44462,             0.26266,            0.042292,             0.28066,            0.019575,             0.00406,             0.00406,             0.00406
                  44,            0.042002,             0.18209,            0.016254,             0.52583,             0.43382,             0.44687,             0.26347,            0.042247,             0.27989,              0.0197,           0.0039186,           0.0039186,           0.0039186
                  45,            0.042124,              0.1787,            0.015954,               0.528,             0.43626,             0.44737,             0.26416,            0.042263,              0.2803,            0.019594,           0.0037771,           0.0037771,           0.0037771
                  46,            0.041953,             0.17984,            0.015876,             0.53475,             0.43692,             0.44959,             0.26566,            0.042151,             0.28028,            0.019596,           0.0036357,           0.0036357,           0.0036357
                  47,             0.04188,             0.18226,            0.015838,             0.53539,             0.43782,             0.45068,             0.26686,            0.042153,             0.27969,             0.01947,           0.0034943,           0.0034943,           0.0034943
                  48,            0.041948,             0.17614,             0.01594,             0.53351,             0.44016,             0.45196,              0.2673,            0.042054,             0.27975,            0.019489,           0.0033529,           0.0033529,           0.0033529
                  49,             0.04119,             0.17771,            0.015757,             0.53227,              0.4395,             0.45084,             0.26649,            0.042013,             0.27911,            0.019441,           0.0032114,           0.0032114,           0.0032114
                  50,            0.041577,             0.17582,            0.015756,             0.52838,             0.44339,             0.45301,             0.26926,            0.041968,             0.27946,            0.019393,             0.00307,             0.00307,             0.00307
                  51,            0.041662,             0.17754,             0.01558,             0.53883,             0.43914,             0.45333,             0.26982,            0.041921,             0.27943,            0.019398,           0.0029286,           0.0029286,           0.0029286
                  52,            0.041637,             0.17746,            0.015694,             0.54314,             0.43373,             0.45246,             0.26792,            0.041878,             0.28005,            0.019517,           0.0027871,           0.0027871,           0.0027871
                  53,            0.041168,             0.17721,            0.015211,             0.53576,             0.43526,             0.45297,             0.26983,            0.041926,             0.27925,            0.019511,           0.0026457,           0.0026457,           0.0026457
                  54,            0.041417,             0.17765,            0.015392,             0.53982,             0.43928,             0.45474,             0.27085,            0.041865,             0.27924,            0.019427,           0.0025043,           0.0025043,           0.0025043
                  55,            0.041339,              0.1756,            0.015186,             0.54633,             0.43824,             0.45452,             0.27083,            0.041878,             0.27896,            0.019374,           0.0023629,           0.0023629,           0.0023629
                  56,             0.04133,             0.17276,             0.01535,             0.53663,             0.44552,             0.45487,             0.27135,            0.041837,             0.27886,            0.019395,           0.0022214,           0.0022214,           0.0022214
                  57,            0.041709,             0.17716,            0.015321,             0.53526,             0.44069,             0.45414,             0.27031,             0.04181,             0.27883,            0.019387,             0.00208,             0.00208,             0.00208
                  58,            0.041215,             0.17612,            0.015173,             0.53575,             0.45175,             0.45886,             0.27375,            0.041743,             0.27873,            0.019235,           0.0019386,           0.0019386,           0.0019386
                  59,            0.040814,             0.17369,            0.014722,             0.54238,              0.4463,             0.45728,             0.27248,            0.041739,             0.27851,            0.019338,           0.0017971,           0.0017971,           0.0017971
                  60,            0.040953,             0.17634,            0.014775,             0.53916,             0.44627,              0.4569,             0.27227,            0.041724,             0.27865,            0.019341,           0.0016557,           0.0016557,           0.0016557
                  61,             0.04091,              0.1721,            0.014701,             0.54143,             0.44395,             0.45679,             0.27235,             0.04169,             0.27834,            0.019225,           0.0015143,           0.0015143,           0.0015143
                  62,            0.040473,             0.17552,            0.014703,             0.54687,             0.44407,             0.46017,             0.27366,            0.041672,             0.27829,            0.019232,           0.0013729,           0.0013729,           0.0013729
                  63,            0.040463,              0.1723,            0.014543,             0.54742,             0.44506,             0.45933,             0.27434,            0.041692,             0.27851,            0.019255,           0.0012314,           0.0012314,           0.0012314
                  64,            0.040712,             0.17147,            0.014717,             0.54804,              0.4433,             0.45933,             0.27446,            0.041682,             0.27859,            0.019244,             0.00109,             0.00109,             0.00109
                  65,            0.040885,             0.17638,            0.014377,             0.55239,             0.44223,             0.45898,             0.27396,             0.04167,             0.27882,            0.019261,          0.00094857,          0.00094857,          0.00094857
                  66,            0.040576,             0.17539,             0.01451,             0.54624,             0.44408,             0.45786,              0.2734,            0.041681,             0.27885,            0.019269,          0.00080714,          0.00080714,          0.00080714
                  67,             0.04072,             0.17509,            0.014439,             0.55454,             0.43978,             0.46001,             0.27434,            0.041661,             0.27877,            0.019253,          0.00066571,          0.00066571,          0.00066571
                  68,            0.040302,             0.17195,            0.014145,             0.55173,             0.44256,             0.45929,             0.27402,            0.041643,             0.27863,            0.019256,          0.00052429,          0.00052429,          0.00052429
                  69,            0.040608,             0.17172,            0.014506,             0.55232,             0.44206,             0.46006,             0.27502,            0.041617,             0.27885,            0.019247,          0.00038286,          0.00038286,          0.00038286
