                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0679,                0.63278,                0.92706,                0.64993,                0.53482,                0.56853,                0.36382,                 1.1159,                0.75245,                0.94377,               0.004225,               0.004225,               0.004225
                     37,                 1.0579,                0.62126,                0.91798,                0.64625,                 0.5524,                0.57649,                0.36805,                  1.116,                0.74768,                0.94528,                0.00406,                0.00406,                0.00406
                     38,                 1.0543,                0.62008,                0.92119,                0.65142,                0.53864,                0.57761,                0.37017,                 1.1155,                0.74581,                0.94423,               0.003895,               0.003895,               0.003895
                     39,                 1.0472,                0.61201,                  0.921,                0.65089,                0.53665,                0.57374,                0.36736,                 1.1192,                0.74756,                0.94618,                0.00373,                0.00373,                0.00373
                     40,                 1.0491,                0.61134,                0.91689,                0.66087,                0.53469,                 0.5728,                0.36746,                 1.1165,                0.74645,                0.94317,               0.003565,               0.003565,               0.003565
                     41,                 1.0507,                0.60778,                 0.9138,                0.64062,                 0.5486,                0.57265,                0.36682,                 1.1184,                0.74766,                0.94362,                 0.0034,                 0.0034,                 0.0034
                     42,                 1.0247,                0.58794,                0.90972,                0.64297,                 0.5494,                0.57316,                 0.3653,                 1.1215,                0.75148,                0.94653,               0.003235,               0.003235,               0.003235
                     43,                 1.0407,                0.59295,                0.91468,                0.63822,                0.53898,                0.56937,                0.36411,                 1.1198,                0.75575,                0.94672,                0.00307,                0.00307,                0.00307
                     44,                 1.0179,                0.58129,                0.91357,                 0.6479,                0.53997,                0.56974,                0.36599,                 1.1168,                0.74974,                0.94698,               0.002905,               0.002905,               0.002905
                     45,                 1.0165,                0.57432,                0.91399,                0.66049,                 0.5377,                0.57485,                0.36848,                 1.1184,                0.74954,                0.94543,                0.00274,                0.00274,                0.00274
                     46,                 1.0058,                0.56644,                0.90565,                0.65298,                0.53889,                0.56967,                0.36489,                 1.1206,                0.75324,                0.94741,               0.002575,               0.002575,               0.002575
                     47,                 1.0053,                0.56359,                0.90853,                0.66306,                0.53337,                0.57229,                0.36707,                 1.1197,                0.75175,                0.94531,                0.00241,                0.00241,                0.00241
                     48,                 1.0066,                0.55705,                 0.9037,                0.65446,                0.54024,                0.57143,                0.36665,                 1.1236,                0.75425,                0.94607,               0.002245,               0.002245,               0.002245
                     49,                0.99758,                0.54944,                0.90162,                0.64668,                0.54309,                0.56966,                0.36534,                 1.1195,                0.75956,                0.94802,                0.00208,                0.00208,                0.00208
                     50,                 0.9926,                0.54622,                0.90467,                0.66056,                0.53566,                0.56911,                0.36514,                 1.1181,                0.75779,                0.94623,               0.001915,               0.001915,               0.001915
                     51,                0.99655,                0.54337,                0.90442,                0.66014,                0.54042,                0.57217,                0.36646,                 1.1231,                0.75719,                0.94664,                0.00175,                0.00175,                0.00175
                     52,                0.98576,                0.53775,                0.90248,                0.65109,                 0.5465,                0.57335,                0.36639,                 1.1236,                0.75729,                0.94638,               0.001585,               0.001585,               0.001585
                     53,                0.98803,                0.53526,                0.90472,                0.66003,                0.53656,                   0.57,                0.36386,                  1.123,                0.75752,                0.94651,                0.00142,                0.00142,                0.00142
                     54,                0.97777,                0.52631,                0.89837,                0.65583,                0.54356,                0.57121,                 0.3642,                 1.1262,                0.76002,                0.94686,               0.001255,               0.001255,               0.001255
                     55,                0.98042,                0.53005,                0.89596,                0.65621,                0.54209,                0.57151,                0.36429,                 1.1255,                0.75998,                 0.9474,                0.00109,                0.00109,                0.00109
                     56,                0.97196,                0.51781,                 0.8931,                0.64489,                 0.5444,                0.56926,                0.36289,                  1.125,                  0.761,                0.94833,               0.000925,               0.000925,               0.000925
                     57,                0.97901,                0.51928,                0.89472,                  0.645,                 0.5485,                 0.5685,                0.36226,                  1.127,                0.76188,                0.94836,                0.00076,                0.00076,                0.00076
                     58,                0.96212,                0.51315,                0.89527,                0.64378,                0.54823,                0.56875,                0.36388,                 1.1273,                 0.7615,                0.94934,               0.000595,               0.000595,               0.000595
                     59,                0.95746,                0.50847,                 0.8936,                0.65515,                0.54016,                0.56889,                0.36372,                 1.1258,                0.76428,                0.94858,                0.00043,                0.00043,                0.00043
